"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"58,33\",\"787\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"59,33\",\"788\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"60,33\",\"789\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"62,33\",\"790\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"64,33\",\"791\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"65,33\",\"792\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"66,33\",\"793\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"70,33\",\"795\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"71,33\",\"796\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"72,33\",\"797\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"74,33\",\"798\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"76,33\",\"799\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"77,33\",\"800\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"79,33\",\"801\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"81,33\",\"802\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"82,33\",\"803\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"84,33\",\"804\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"86,33\",\"805\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"87,33\",\"806\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"89,33\",\"808\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"91,33\",\"809\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"92,33\",\"810\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"93,33\",\"811\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"94,33\",\"812\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"96,33\",\"813\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"98,33\",\"814\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"99,33\",\"816\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mouseout\",\"b1\",\"out\",\"817\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mouseover\",\"b2\",\"in\",\"821\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b2\",\"0,33\",\"821\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b2\",\"1,33\",\"822\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b2\",\"3,33\",\"823\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b2\",\"4,33\",\"824\","-1"
