"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c2\",\"50,41\",\"262\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c2\",\"52,41\",\"263\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c2\",\"56,42\",\"264\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c2\",\"59,42\",\"265\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c2\",\"63,42\",\"266\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c2\",\"66,43\",\"267\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c2\",\"73,43\",\"269\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c2\",\"77,43\",\"270\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c2\",\"80,43\",\"271\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c2\",\"83,43\",\"272\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c2\",\"88,43\",\"273\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c2\",\"92,44\",\"274\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c2\",\"96,44\",\"275\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c2\",\"99,44\",\"275\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mouseout\",\"c2\",\"out\",\"277\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mouseover\",\"c3\",\"in\",\"278\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c3\",\"3,45\",\"278\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c3\",\"7,45\",\"279\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c3\",\"10,45\",\"279\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c3\",\"14,46\",\"280\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c3\",\"21,46\",\"281\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c3\",\"24,47\",\"282\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c3\",\"28,47\",\"283\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c3\",\"43,48\",\"287\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c3\",\"47,48\",\"288\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c3\",\"51,48\",\"288\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c3\",\"55,48\",\"290\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c3\",\"60,48\",\"290\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c3\",\"67,48\",\"291\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c3\",\"71,48\",\"292\","-1"
"11","v2","","4_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:29",""mousemove\",\"c3\",\"75,48\",\"293\","-1"
