"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"59,15\",\"681\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"58,15\",\"682\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"57,15\",\"683\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"56,14\",\"684\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"55,14\",\"685\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"54,13\",\"686\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"52,12\",\"688\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"51,12\",\"690\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"51,11\",\"691\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"49,10\",\"692\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"48,10\",\"694\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"48,9\",\"695\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"46,9\",\"696\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"45,8\",\"698\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"44,8\",\"699\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"43,7\",\"702\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"43,6\",\"703\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"42,6\",\"704\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"41,6\",\"706\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"41,5\",\"707\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"40,5\",\"708\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"39,5\",\"710\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"39,4\",\"711\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"38,4\",\"712\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"38,3\",\"713\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"37,3\",\"714\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"36,2\",\"717\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"35,2\",\"720\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"35,1\",\"722\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"34,1\",\"724\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"33,0\",\"726\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mouseout\",\"c1\",\"out\",\"729\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mouseover\",\"b1\",\"in\",\"926\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"b1\",\"8,47\",\"927\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"b1\",\"10,45\",\"930\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"b1\",\"10,44\",\"934\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"b1\",\"11,44\",\"935\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"b1\",\"12,44\",\"938\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"b1\",\"12,43\",\"939\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"b1\",\"13,43\",\"940\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"b1\",\"14,42\",\"944\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"b1\",\"14,41\",\"946\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"b1\",\"15,41\",\"947\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"b1\",\"16,41\",\"950\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"b1\",\"17,40\",\"952\","-1"
