"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"95,27\",\"1485\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"87,27\",\"1490\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"82,27\",\"1491\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"78,27\",\"1493\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"73,27\",\"1495\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"68,27\",\"1497\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"63,27\",\"1499\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"57,27\",\"1501\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"53,27\",\"1503\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"49,28\",\"1505\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"43,28\",\"1507\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"38,28\",\"1509\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"33,28\",\"1511\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"29,28\",\"1513\","-1"
