"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"91,18\",\"996\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"90,18\",\"1000\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"89,17\",\"1001\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"88,17\",\"1004\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"87,16\",\"1009\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"86,16\",\"1012\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"85,16\",\"1013\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"85,15\",\"1017\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"84,15\",\"1018\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"83,14\",\"1021\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"82,14\",\"1022\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"81,14\",\"1027\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"81,13\",\"1029\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"80,13\",\"1030\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"79,13\",\"1034\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"78,12\",\"1037\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"78,11\",\"1039\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"77,11\",\"1040\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"76,10\",\"1046\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"75,10\",\"1047\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"74,10\",\"1051\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"74,9\",\"1053\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"73,9\",\"1056\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"73,8\",\"1058\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"72,8\",\"1059\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"72,7\",\"1060\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"71,7\",\"1061\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"71,6\",\"1064\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"70,6\",\"1066\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"66,2\",\"1082\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"66,1\",\"1083\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mouseout\",\"d3\",\"out\",\"1089\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mouseover\",\"c3\",\"in\",\"1104\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"59,49\",\"1104\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"56,46\",\"1114\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"56,45\",\"1115\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"55,45\",\"1116\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"55,44\",\"1119\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"54,44\",\"1120\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"53,44\",\"1121\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"53,43\",\"1122\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"53,42\",\"1124\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"52,42\",\"1125\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"52,41\",\"1127\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"51,41\",\"1128\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"51,40\",\"1129\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"50,40\",\"1130\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"49,39\",\"1133\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"49,38\",\"1134\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"49,37\",\"1137\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"48,37\",\"1138\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"48,36\",\"1140\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"47,35\",\"1142\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"46,35\",\"1144\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"46,34\",\"1145\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"46,33\",\"1148\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"45,33\",\"1149\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"45,32\",\"1150\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"45,31\",\"1152\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"44,31\",\"1154\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"44,30\",\"1155\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"43,30\",\"1158\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"43,29\",\"1159\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"43,28\",\"1161\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"43,27\",\"1167\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"43,26\",\"1174\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"42,26\",\"1175\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"42,25\",\"1180\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"42,24\",\"1182\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"41,24\",\"1186\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"41,23\",\"1188\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"41,22\",\"1193\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"41,21\",\"1194\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"40,20\",\"1198\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"40,19\",\"1201\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"39,19\",\"1204\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"39,18\",\"1206\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"39,17\",\"1207\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"38,16\",\"1211\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"38,15\",\"1214\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"38,14\",\"1216\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"c3\",\"37,13\",\"1220\","-1"
