"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b2\",\"92,44\",\"2441\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b2\",\"82,46\",\"2450\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b2\",\"74,46\",\"2459\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b2\",\"67,47\",\"2465\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b2\",\"61,48\",\"2471\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b2\",\"55,48\",\"2480\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b2\",\"50,49\",\"2487\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b2\",\"44,49\",\"2495\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseout\",\"b2\",\"out\",\"2503\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"a2\",\"\",\"2648\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"c1\",\"-136,5 ; -546\",\"2648\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"91,0\",\"2649\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"83,0\",\"2655\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"77,1\",\"2666\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"70,2\",\"2675\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"62,3\",\"2679\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"53,4\",\"2687\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"46,4\",\"2696\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"38,6\",\"2703\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"30,7\",\"2711\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"21,8\",\"2719\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"13,9\",\"2727\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"4,10\",\"2735\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseout\",\"c1\",\"out\",\"2744\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"c1\",\"\",\"2753\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"c0\",\"-136,5 ; -364\",\"2754\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c0\",\"98,12\",\"2755\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c0\",\"92,13\",\"2763\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c0\",\"86,13\",\"2773\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c0\",\"82,14\",\"2782\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c0\",\"79,15\",\"2783\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c0\",\"76,15\",\"2792\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c0\",\"73,15\",\"2799\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c0\",\"70,15\",\"2807\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c0\",\"67,15\",\"2815\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c0\",\"63,16\",\"2824\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c0\",\"58,16\",\"2833\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c0\",\"55,16\",\"2841\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c0\",\"49,16\",\"2848\","-1"
