"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mouseout\",\"c0\",\"out\",\"2479\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mouseover\",\"c0\",\"\",\"2502\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mouseover\",\"b0\",\"540 ; 180\",\"2502\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"b0\",\"62,48\",\"2503\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"b0\",\"62,45\",\"2504\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"b0\",\"62,31\",\"2562\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"b0\",\"62,32\",\"2695\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"b0\",\"62,39\",\"2703\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"b0\",\"63,45\",\"2710\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"b0\",\"64,49\",\"2718\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mouseout\",\"b0\",\"out\",\"2727\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mouseover\",\"b0\",\"\",\"2727\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mouseover\",\"c0\",\"270 ; 0\",\"2727\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"66,0\",\"2729\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"69,9\",\"2734\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"71,13\",\"2748\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"73,16\",\"2750\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"74,19\",\"2759\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"77,21\",\"2766\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"78,25\",\"2774\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"80,26\",\"2782\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"81,27\",\"2790\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"84,28\",\"2798\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"86,29\",\"2806\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"87,31\",\"2814\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"89,31\",\"2822\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"92,31\",\"2830\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"94,32\",\"2838\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"96,32\",\"2846\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"98,32\",\"2854\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mouseout\",\"c0\",\"out\",\"2863\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mouseover\",\"c0\",\"\",\"2894\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mouseover\",\"c1\",\"270 ; 0\",\"2894\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"1,32\",\"2895\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"2,32\",\"2896\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"6,32\",\"2908\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"10,32\",\"2910\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"14,31\",\"2918\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"17,31\",\"2926\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"20,31\",\"2935\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"22,31\",\"2942\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"25,30\",\"2950\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"27,30\",\"2958\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"30,30\",\"2967\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"31,30\",\"2981\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"34,30\",\"2986\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"35,30\",\"2991\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"36,30\",\"2998\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"38,30\",\"3006\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"39,29\",\"3014\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"41,29\",\"3022\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"43,29\",\"3030\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"47,29\",\"3038\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"50,29\",\"3046\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"54,29\",\"3054\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"58,29\",\"3062\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"61,29\",\"3070\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"62,29\",\"3078\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"65,28\",\"3086\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"66,28\",\"3094\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"68,28\",\"3102\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"69,28\",\"3110\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"70,28\",\"3118\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"72,28\",\"3126\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"74,28\",\"3134\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"75,28\",\"3142\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"77,28\",\"3150\","-1"
