"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mouseover\",\"b0\",\"312 ; 104\",\"2207\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"63,34\",\"2208\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"60,35\",\"2216\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"56,35\",\"2222\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"54,35\",\"2230\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"53,35\",\"2234\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"49,36\",\"2243\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"48,36\",\"2254\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"47,36\",\"2259\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"45,36\",\"2266\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"44,36\",\"2282\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"44,37\",\"2290\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"43,37\",\"2298\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"42,37\",\"2306\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"41,38\",\"2314\","-1"
