"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"77.80999755859375,16.279998779296875\",\"4583\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"76.80999755859375,19.279998779296875\",\"4596\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"76.80999755859375,20.279998779296875\",\"4605\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"76.80999755859375,21.279998779296875\",\"4615\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"76.80999755859375,22.279998779296875\",\"4628\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"76.80999755859375,23.279998779296875\",\"4648\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"76.80999755859375,24.279998779296875\",\"4670\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"77.80999755859375,24.279998779296875\",\"5262\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"78.80999755859375,24.279998779296875\",\"5283\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"79.80999755859375,24.279998779296875\",\"5305\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"81.80999755859375,23.279998779296875\",\"5315\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"83.80999755859375,22.279998779296875\",\"5329\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"87.80999755859375,21.279998779296875\",\"5338\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"93.80999755859375,18.279998779296875\",\"5348\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseout\",\"b0\",\"out\",\"5362\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b1\",\"7.429999828338623,9.279999732971191\",\"5414\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseover\",\"a0\",\"\",\"5415\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseover\",\"a1\",\"36 ; 55\",\"5416\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b1\",\"10.429999351501464,8.279999732971191\",\"5429\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b1\",\"17.43000030517578,8.279999732971191\",\"5436\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b1\",\"21.43000030517578,6.279999732971191\",\"5446\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b1\",\"27.43000030517578,4.279999732971191\",\"5462\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b1\",\"32.43000030517578,2.2799999713897705\",\"5469\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b1\",\"41.43000030517578,0.2800000011920929\",\"5479\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseout\",\"b1\",\"out\",\"5492\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"59.43000030517578,49.279998779296875\",\"5502\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseover\",\"a1\",\"\",\"5502\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseover\",\"b1\",\"12 ; 16\",\"5503\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"69.43000030517578,49.279998779296875\",\"5514\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"78.43000030517578,48.279998779296875\",\"5523\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"86.43000030517578,48.279998779296875\",\"5535\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"97.43000030517578,48.279998779296875\",\"5545\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseout\",\"a1\",\"out\",\"5557\","-1"
